Mice_Num,Timepoint,Condition,Jump,Immobility 
4545,Post,Naloxone,33,6.077083333
4545,Pre,Naloxone,0,0
4546,Post,Saline,0,0
4546,Pre,Saline,0,0
4547,Post,Naloxone,14,3.360416667
4547,Pre,Naloxone,0,0.085
4548,Post,Saline,0,0
4548,Pre,Saline,1,0
4549,Post,Naloxone,21,5.66375
4549,Pre,Naloxone,15,0
4550,Post,Saline,0,0
4550,Pre,Saline,0,0.115833333
4551,Post,Naloxone,49,6.15125
4551,Pre,Naloxone,0,0.10458333
4552,Post,Saline,2,0.180833333
4552,Pre,Saline,0,0.27375
4553,Post,Naloxone,0,3.22
4553,Pre,Naloxone,30,0.18458333
4556,Post,Saline,1,0.24791667
4556,Pre,Saline,0,0
9242,Post,Saline,1,0.59166667
9242,Pre,Saline,0,0
9243,Post,Naloxone,7,3.50583333
9243,Pre,Naloxone,1,0
9244,Post,Naloxone,126,4.92166667
9244,Pre,Naloxone,2,0.37375
9245,Post,Saline,22,0.70291667
9245,Pre,Saline,0,0
9246,Post,Naloxone,28,2.86125
9246,Pre,Naloxone,2,0
9321,Post,SalNal,0,0.63375
9321,Pre,SalNal,1,0.62541667
9322,Post,SalNal,0,2.095
9322,Pre,SalNal,1,0.4025
9323,Post,SalNal,7,0.34083333
9323,Pre,SalNal,0,0.21041667
9324,Post,SalNal,1,0.30458333
9324,Pre,SalNal,1,0.13958333
9325,Post,SalNal,0,1.185
9325,Pre,SalNal,0,0.48791667
9404,Post,Saline,43,0
9404,Pre,Saline,24,0
9405,Post,Naloxone,20,2.70541667
9405,Pre,Naloxone,4,0
9406,Post,Saline,0,0
9406,Pre,Saline,0,0
9407,Post,Saline,14,30
9407,Pre,Saline,108,0
9408,Post,Naloxone,9,1.85291667
9408,Pre,Naloxone,0,0
9968,Post,Naloxone,0,9.93125
9968,Pre,Naloxone,2,0.03916667
9969,Post,Saline,1,0
9969,Pre,Saline,8,0
9970,Post,Naloxone,68,2.48083333
9970,Pre,Naloxone,14,0
9971,Post,Saline,10,0
9971,Pre,Saline,51,0
9973,Post,Saline,6,0.18541667
9973,Pre,Saline,10,0
9974,Post,Naloxone,9,2.16666667
9974,Pre,Naloxone,8,0
9975,Post,Saline,31,0.61125
9975,Pre,Saline,22,0
9978,Post,SalNal,0,0.05041667
9978,Pre,SalNal,0,0
9979,Post,SalNal,0,1.05125
9979,Pre,SalNal,0,0.23916667
9980,Post,SalNal,0,1.55958333
9980,Pre,SalNal,0,0.29625
979,Post,SalNal,0,1.62291667
979,Pre,SalNal,2,0.2075
980,Post,SalNal,7,0.28333333
980,Pre,SalNal,0,0.1725
981,Post,SalNal,0,0.65916667
981,Pre,SalNal,2,0.39791667
982,Post,SalNal,1,0.74583333
982,Pre,SalNal,0,0.63375
983,Post,SalNal,16,1.365
983,Pre,SalNal,5,0.12125
